,Date,cases,Close
0,30-01-2020,1,3020.35
1,31-01-2020,0,3019.95
2,01-02-2020,0,2934.05
3,03-02-2020,1,2919.1
4,04-02-2020,0,2977.65
5,05-02-2020,0,2996.95
6,06-02-2020,0,3010.95
7,07-02-2020,0,3006.75
8,10-02-2020,0,2982
9,11-02-2020,0,2991.3
10,12-02-2020,0,2992.45
11,13-02-2020,0,2988.3
12,14-02-2020,0,2966.1
13,17-02-2020,0,2913.5
14,18-02-2020,0,2902.7
15,19-02-2020,0,2942.3
16,20-02-2020,0,2940.65
17,24-02-2020,0,2887.35
18,25-02-2020,0,2879.15
19,26-02-2020,0,2855.35
20,27-02-2020,0,2811.45
21,28-02-2020,0,2697.55
22,02-03-2020,2,2661.5
23,03-03-2020,1,2709.3
24,04-03-2020,22,2656.7
25,05-03-2020,2,2659.95
26,06-03-2020,1,2588.4
27,09-03-2020,9,2455.55
28,11-03-2020,8,2461.45
29,12-03-2020,10,2232.75
30,13-03-2020,10,2234.4
31,16-03-2020,14,2101.05
32,17-03-2020,20,2034.85
33,18-03-2020,25,1922.9
34,19-03-2020,27,1812.65
35,20-03-2020,58,1868.9
36,23-03-2020,94,1611.85
37,24-03-2020,74,1610.9
38,25-03-2020,86,1661.6
39,26-03-2020,73,1707.5
40,27-03-2020,153,1726.45
41,30-03-2020,187,1690.75
42,31-03-2020,309,1743.15
43,01-04-2020,424,1702
44,03-04-2020,560,1658.95
45,07-04-2020,573,1718.8
46,08-04-2020,565,1747.45
47,09-04-2020,813,1812.75
48,13-04-2020,1243,1801.6
49,15-04-2020,886,1835
50,16-04-2020,1061,1881.8
51,17-04-2020,922,1950.35
52,20-04-2020,1239,1946.6
53,21-04-2020,1537,1859.4
54,22-04-2020,1292,1864.7
55,23-04-2020,1667,1900.35
56,24-04-2020,1408,1862.3
57,27-04-2020,1568,1876.85
58,28-04-2020,1902,1897.6
59,29-04-2020,1705,1916.05
60,30-04-2020,1801,1924.65
61,04-05-2020,3656,1869.3
62,05-05-2020,2971,1838.3
63,06-05-2020,3602,1850.7
64,07-05-2020,3344,1860.95
65,08-05-2020,3339,1847.45
66,11-05-2020,3592,1848.4
67,12-05-2020,3562,1841.65
68,13-05-2020,3726,1877.1
69,14-05-2020,3991,1859.7
70,15-05-2020,3808,1854.4
71,18-05-2020,4628,1787.8
72,19-05-2020,6154,1795.9
73,20-05-2020,5720,1812.2
74,21-05-2020,6023,1823
75,22-05-2020,6536,1812.15
76,26-05-2020,5907,1827.5
77,27-05-2020,7246,1840.45
78,28-05-2020,7254,1859.45
79,29-05-2020,8138,1879.45
80,01-06-2020,7723,1939.75
81,02-06-2020,8812,1990
82,03-06-2020,9689,2014.2
83,04-06-2020,9847,2009.45
84,05-06-2020,9472,2085.1
85,08-06-2020,8536,2110.4
86,09-06-2020,9981,2074.45
87,10-06-2020,11156,2074.4
88,11-06-2020,11135,2057.85
89,12-06-2020,11306,2055.6
90,15-06-2020,10032,2071.8
91,16-06-2020,11086,2065.3
92,17-06-2020,13108,2076.2
93,18-06-2020,13829,2108.25
94,19-06-2020,14740,2137
95,22-06-2020,13560,2185.95
96,23-06-2020,15656,2222.5
97,24-06-2020,16868,2186.55
98,25-06-2020,18205,2205.25
99,26-06-2020,18255,2213.85
100,29-06-2020,18339,2187.4
101,30-06-2020,18256,2178.2
102,01-07-2020,19429,2199.15
103,02-07-2020,21947,2212.8
104,03-07-2020,22718,2212.9
105,06-07-2020,22500,2253.75
106,07-07-2020,23147,2276.6
107,08-07-2020,25561,2269.1
108,09-07-2020,25790,2290.6
109,10-07-2020,27762,2286.05
110,13-07-2020,28178,2286.25
111,14-07-2020,29917,2252.6
112,15-07-2020,32607,2254.5
113,16-07-2020,35468,2250.05
114,17-07-2020,34820,2281.2
115,20-07-2020,36806,2308.75
116,21-07-2020,39170,2324.05
117,22-07-2020,45601,2329.95
118,23-07-2020,48443,2362
119,24-07-2020,48888,2379.45
120,27-07-2020,46484,2378.6
121,28-07-2020,49631,2410.3
122,29-07-2020,52479,2404.3
123,30-07-2020,54968,2384.95
124,31-07-2020,57486,2419.5
125,03-08-2020,50488,2453.1
126,04-08-2020,51282,2487.7
127,05-08-2020,56626,2524.65
128,06-08-2020,62170,2523.75
129,07-08-2020,61455,2546.5
130,10-08-2020,53016,2598
131,11-08-2020,61252,2592.1
132,12-08-2020,67066,2609.8
133,13-08-2020,64141,2632.65
134,14-08-2020,65610,2606.7
135,17-08-2020,54298,2622.6
136,18-08-2020,65024,2662.05
137,19-08-2020,69196,2691.2
138,20-08-2020,68518,2710.5
139,21-08-2020,69029,2741.55
140,24-08-2020,59696,2780.05
141,25-08-2020,66873,2785.25
142,26-08-2020,75995,2815.15
143,27-08-2020,76827,2837.95
144,28-08-2020,76657,2829.55
145,31-08-2020,68766,2695.7
146,01-09-2020,78168,2712.55
147,02-09-2020,82860,2764.3
148,03-09-2020,84156,2778.75
149,04-09-2020,87115,2752.2
150,07-09-2020,75015,2756.85
151,08-09-2020,89855,2743
152,09-09-2020,95536,2706.9
153,10-09-2020,96762,2752.3
154,11-09-2020,97655,2765.25
155,14-09-2020,81913,2933.1
156,15-09-2020,91098,2979.45
157,16-09-2020,97860,2980.8
158,17-09-2020,96787,2972.15
159,18-09-2020,92973,2964.5
160,21-09-2020,74493,2841.1
161,22-09-2020,83362,2793.35
162,23-09-2020,86703,2801.5
163,24-09-2020,85921,2726.15
164,25-09-2020,85717,2808
165,28-09-2020,69669,2921.6
166,29-09-2020,80500,2919.05
167,30-09-2020,86748,2911.4
168,01-10-2020,81784,2920.7
169,05-10-2020,60130,2941.35
170,06-10-2020,71869,2960.8
171,07-10-2020,78809,2947.15
