,Date,Close,cases
0,30-01-2020,12035.8,1
1,31-01-2020,11962.1,0
2,01-02-2020,11661.85,0
3,03-02-2020,11707.9,1
4,04-02-2020,11979.65,0
5,05-02-2020,12089.15,0
6,06-02-2020,12137.95,0
7,07-02-2020,12098.35,0
8,10-02-2020,12031.5,0
9,11-02-2020,12107.9,0
10,12-02-2020,12201.2,0
11,13-02-2020,12174.65,0
12,14-02-2020,12113.45,0
13,17-02-2020,12045.8,0
14,18-02-2020,11992.5,0
15,19-02-2020,12125.9,0
16,20-02-2020,12080.85,0
17,24-02-2020,11829.4,0
18,25-02-2020,11797.9,0
19,26-02-2020,11678.5,0
20,27-02-2020,11633.3,0
21,28-02-2020,11201.75,0
22,02-03-2020,11132.75,2
23,03-03-2020,11303.3,1
24,04-03-2020,11251,22
25,05-03-2020,11269,2
26,06-03-2020,10989.45,1
27,09-03-2020,10451.45,9
28,11-03-2020,10458.4,8
29,12-03-2020,9590.15,10
30,13-03-2020,9955.2,10
31,16-03-2020,9197.4,14
32,17-03-2020,8967.05,20
33,18-03-2020,8468.8,25
34,19-03-2020,8263.45,27
35,20-03-2020,8745.45,58
36,23-03-2020,7610.25,94
37,24-03-2020,7801.05,74
38,25-03-2020,8317.85,86
39,26-03-2020,8641.45,73
40,27-03-2020,8660.25,153
41,30-03-2020,8281.1,187
42,31-03-2020,8597.75,309
43,01-04-2020,8253.8,424
44,03-04-2020,8083.8,560
45,07-04-2020,8792.2,573
46,08-04-2020,8748.75,565
47,09-04-2020,9111.9,813
48,13-04-2020,8993.85,1243
49,15-04-2020,8925.3,886
50,16-04-2020,8992.8,1061
51,17-04-2020,9266.75,922
52,20-04-2020,9261.85,1239
53,21-04-2020,8981.45,1537
54,22-04-2020,9187.3,1292
55,23-04-2020,9313.9,1667
56,24-04-2020,9154.4,1408
57,27-04-2020,9282.3,1568
58,28-04-2020,9380.9,1902
59,29-04-2020,9553.35,1705
60,30-04-2020,9859.9,1801
61,04-05-2020,9293.5,3656
62,05-05-2020,9205.6,2971
63,06-05-2020,9270.9,3602
64,07-05-2020,9199.05,3344
65,08-05-2020,9251.5,3339
66,11-05-2020,9239.2,3592
67,12-05-2020,9196.55,3562
68,13-05-2020,9383.55,3726
69,14-05-2020,9142.75,3991
70,15-05-2020,9136.85,3808
71,18-05-2020,8823.25,4628
72,19-05-2020,8879.1,6154
73,20-05-2020,9066.55,5720
74,21-05-2020,9106.25,6023
75,22-05-2020,9039.25,6536
76,26-05-2020,9029.05,5907
77,27-05-2020,9314.95,7246
78,28-05-2020,9490.1,7254
79,29-05-2020,9580.3,8138
80,01-06-2020,9826.15,7723
81,02-06-2020,9979.1,8812
82,03-06-2020,10061.55,9689
83,04-06-2020,10029.1,9847
84,05-06-2020,10142.15,9472
85,08-06-2020,10167.45,8536
86,09-06-2020,10046.65,9981
87,10-06-2020,10116.15,11156
88,11-06-2020,9902,11135
89,12-06-2020,9972.9,11306
90,15-06-2020,9813.7,10032
91,16-06-2020,9914,11086
92,17-06-2020,9881.15,13108
93,18-06-2020,10091.65,13829
94,19-06-2020,10244.4,14740
95,22-06-2020,10311.2,13560
96,23-06-2020,10471,15656
97,24-06-2020,10305.3,16868
98,25-06-2020,10288.9,18205
99,26-06-2020,10383,18255
100,29-06-2020,10312.4,18339
101,30-06-2020,10302.1,18256
102,01-07-2020,10430.05,19429
103,02-07-2020,10551.7,21947
104,03-07-2020,10607.35,22718
105,06-07-2020,10763.65,22500
106,07-07-2020,10799.65,23147
107,08-07-2020,10705.75,25561
108,09-07-2020,10813.45,25790
109,10-07-2020,10768.05,27762
110,13-07-2020,10802.7,28178
111,14-07-2020,10607.35,29917
112,15-07-2020,10618.2,32607
113,16-07-2020,10739.95,35468
114,17-07-2020,10901.7,34820
115,20-07-2020,11022.2,36806
116,21-07-2020,11162.25,39170
117,22-07-2020,11132.6,45601
118,23-07-2020,11215.45,48443
119,24-07-2020,11194.15,48888
120,27-07-2020,11131.8,46484
121,28-07-2020,11300.55,49631
122,29-07-2020,11202.85,52479
123,30-07-2020,11102.15,54968
124,31-07-2020,11073.45,57486
125,03-08-2020,10891.6,50488
126,04-08-2020,11095.25,51282
127,05-08-2020,11101.65,56626
128,06-08-2020,11200.15,62170
129,07-08-2020,11214.05,61455
130,10-08-2020,11270.15,53016
131,11-08-2020,11322.5,61252
132,12-08-2020,11308.4,67066
133,13-08-2020,11300.45,64141
134,14-08-2020,11178.4,65610
135,17-08-2020,11247.1,54298
136,18-08-2020,11385.35,65024
137,19-08-2020,11408.4,69196
138,20-08-2020,11312.2,68518
139,21-08-2020,11371.6,69029
140,24-08-2020,11466.45,59696
141,25-08-2020,11472.25,66873
142,26-08-2020,11549.6,75995
143,27-08-2020,11559.25,76827
144,28-08-2020,11647.6,76657
145,31-08-2020,11387.5,68766
146,01-09-2020,11470.25,78168
147,02-09-2020,11535,82860
148,03-09-2020,11527.45,84156
149,04-09-2020,11333.85,87115
150,07-09-2020,11355.05,75015
151,08-09-2020,11317.35,89855
152,09-09-2020,11278,95536
153,10-09-2020,11449.25,96762
154,11-09-2020,11464.45,97655
155,14-09-2020,11440.05,81913
156,15-09-2020,11521.8,91098
157,16-09-2020,11604.55,97860
158,17-09-2020,11516.1,96787
159,18-09-2020,11504.95,92973
160,21-09-2020,11250.55,74493
161,22-09-2020,11153.65,83362
162,23-09-2020,11131.85,86703
163,24-09-2020,10805.55,85921
164,25-09-2020,11050.25,85717
165,28-09-2020,11227.55,69669
166,29-09-2020,11222.4,80500
167,30-09-2020,11247.55,86748
168,01-10-2020,11416.95,81784
169,05-10-2020,11503.35,60130
170,06-10-2020,11662.4,71869
171,07-10-2020,11738.85,78809
172,08-10-2020,11834.6,70797
173,09-10-2020,11914.2,73305
174,12-10-2020,11930.95,54262
175,13-10-2020,11934.5,63717
176,14-10-2020,11971.05,67811
177,15-10-2020,11680.35,63441
178,16-10-2020,11762.45,62304
179,19-10-2020,11873.05,45506
180,20-10-2020,11896.8,54348
181,21-10-2020,11937.65,56264
182,22-10-2020,11896.45,54371
